name.latin,ktype
Acer campestre,1.2a
Acer platanoides,1.2a
Acer pseudoplatanus,1.2a
Achillea millefolium,7.2c
Achillea ptarmica,nd
Aegopodium podagraria,1.2a
Aesculus hippocastanum,5.1
Aethusa cynapium,1.2a
Agrimonia eupatoria,1.1
Ajuga reptans,5.1
Allium cepa,1.2bd
Allium schoenoprasum,1.2bd
Alnus glutinosa,0
Anagallis arvensis,1.1
Anchusa officinalis,4.1
Anemone nemorosa,1.1
Angelica sylvestris,1.2a
Anthriscus sylvestris,1.2a
Arabidopsis thaliana,1.2bb
Arctium agg.,7.2a
Arenaria serpyllifolia,1.2bb
Armeria maritima,7.1
Asperula cynanchica,2.2
Aster tripolium,7.2c
Atriplex patula,0
Atriplex portulacoides,nd
Bellis perennis,7.3c
Brassica napus,1.2bb
Brassica oleracea (cultivated),1.2bb
Brassica rapa,1.2bb
Buddleja davidii,4.1
Calluna vulgaris,nd
Caltha palustris,1.2bd
Calystegia sepium,2.1
Campanula glomerata,3.2
Campanula patula,3.2
Campanula rotundifolia,3.2
Capsella bursa-pastoris,1.2bb
Cardamine hirsuta/flexuosa,1.2bb
Cardamine pratensis,1.2bb
Castanea sativa,0
Centaurea nigra,7.2a
Centaurea scabiosa,7.2a
Cerastium fontanum,1.2bb
Cerastium glomeratum,1.2bb
Chamerion angustifolium,nd
Chrysosplenium oppositifolium,1.2a
Circaea lutetiana,5.6
Cirsium acaule,7.2a
Cirsium arvense,7.2a
Cirsium palustre,7.2a
Cirsium vulgare,7.2a
Clematis vitalba,1.1
Conopodium majus,1.2a
Convolvulus arvensis,2.1
Cornus sanguinea,1.2a
Corylus avellana,0
Crataegus monogyna,1.2ba
Crepis capillaris,7.2b
Cruciata laevipes,1.2a
Vicia faba,6.1b
Cynoglossum officinale,4.1
Cytisus scoparius,6.1b
Dactylorhiza maculata,5.4
Daucus carota,1.2a
Digitalis purpurea,5.2
Doronicum pardalianches,7.2c
Drosera rotundifolia,1.2bc
Echium vulgare,5.2
Empetrum nigrum,0
Epilobium hirsutum,1.2ba
Epilobium montanum,1.2ba
Epilobium obscurum,1.2ba
Epilobium palustre,1.2ba
Epilobium parviflorum,1.2ba
Epilobium tetragonum,1.2ba
Erica cinerea,3.1
Erica tetralix,3.1
Eupatorium cannabinum,7.2a
Euphrasia officinalis agg.,5.1
Fagopyrum esculentum,1.2a
Fallopia convolvulus,3.2
Fallopia japonica,3.2
Filipendula ulmaria,1.1
Galeopsis tetrahit agg.,5.1
Galium aparine,1.2a
Galium mollugo,1.2a
Galium palustre,1.2a
Galium saxatile,1.2a
Galium verum,1.2a
Geranium dissectum,1.2bb
Geranium molle,1.2bb
Geranium pratense,1.2bb
Geranium robertianum,1.2bb
Geum rivale,3.2
Geum urbanum,3.2
Gladiolus sp.,5.2
Glaux maritima,2.2
Glechoma hederacea,5.1
Hedera helix,1.2a
Helianthemum nummularium,1.1
Heracleum sphondylium,1.2a
Hieracium 'indeterminate' ,7.2b
Honckenya peploides,1.2bb
Hyacinthoides non-scripta,3.2
Hydrocotyle vulgaris,1.2a
Hypericum pulchrum,1.1
Hypochaeris radicata,7.2b
Ilex aquifolium,1.2a
Impatiens glandulifera,5.2
Iris pseudacorus,5.2
Knautia arvensis,7.1
Lamiastrum galeobdolon,5.1
Lamium album,5.1
Lamium maculatum,5.1
Lamium purpureum,5.1
Lapsana communis,7.2b
Lathyrus latifolius,6.1b
Lathyrus pratensis,6.1b
Leontodon autumnalis,7.2b
Leontodon hispidus,7.2b
Leontodon saxatilis,7.2b
Leucanthemum vulgare,7.2c
Ligustrum vulgare,2.2
Linaria vulgaris,5.3
Linum usitatissimum,1.2bb
Lonicera periclymenum,5.1
Lotus corniculatus,6.1c
Lotus pedunculatus,6.1c
Lupinus polyphyllus,6.1c
Lychnis flos-cuculi,4.2
Lycopus europaeus,2.2
Lysimachia nemorum,1.1
Lythrum salicaria,2.1
Malus domestica,1.2ba
Matricaria discoidea,7.2a
Matricaria recutita,7.2c
Medicago lupulina,6.1b
Medicago sativa,6.1b
Melilotus officinalis,6.1a
Mentha aquatica,2.2
Mercurialis perennis,0
Montia fontana,1.2a
Myosotis arvensis,4.1
Narthecium ossifragum,1.1
Odontites vernus,5.1
Oenanthe crocata,nd
Onobrychis viciifolia,6.1a
Origanum vulgare,5.1
Oxalis acetosella,1.2bc
Papaver dubium,1.1
Papaver rhoeas,1.1
Papaver somniferum,1.1
Pastinaca sativa,1.2a
Pedicularis sylvatica,5.1
Persicaria lapathifolium,3.2
Persicaria maculosa,3.2
Petasites hybridus,7.2a
Picris echioides,7.2b
Pilosella officinarum,7.2b
Pinguicula vulgaris,nd
Pisum sativum,nd
Plantago coronopus,0
Plantago lanceolata,0
Plantago major,0
Plantago maritima,0
Plantago media,0
Polygala vulgaris/serpyllifolia,6.2
Polygonum aviculare agg.,3.2
Populus tremula,0
Potentilla anserina,1.2ba
Potentilla erecta,1.2ba
Potentilla reptans,1.2ba
Potentilla sterilis,1.2ba
Primula veris,4.1
Primula vulgaris,4.1
Prunella vulgaris,5.1
Prunus avium,1.2ba
Prunus domestica,1.2ba
Prunus spinosa,1.2ba
Pulicaria dysenterica,7.2c
Pyrus communis,1.2ba
Ranunculus acris,1.2bc
Ranunculus bulbosus,1.2bc
Ranunculus ficaria,1.2bc
Ranunculus flammula,1.2bc
Ranunculus lingua,1.2bc
Ranunculus repens,1.2bc
Ranunculus sardous,1.2bc
Raphanus raphanistrum,1.2bb
Raphanus sativus,1.2bb
Rhinanthus minor,5.1
Rhododendron ponticum,nd
Rhynchospora alba,0
Rosa canina agg.,1.1
Rubus chamaemorus,1.2ba
Rubus fruticosus agg.,1.2ba
Rubus idaeus,1.2ba
Sagina sp.,1.2bb
Salix alba,9
Salix caprea,9
Salix cinerea,9
Salix fragilis,9
Salix repens agg.,9
Salvia pratensis,5.1
Salvia verticillata,5.1
Sambucus nigra,1.1
Sanguisorba minor,0
Saponaria officinalis,4.2
Senecio erucifolius,7.2c
Senecio jacobaea,7.2c
Senecio vulgaris,7.2c
Sherardia arvensis,2.2
Silene dioica,4.2
Silene vulgaris,4.2
Sinapis arvensis,1.2a
Sison amomum,nd
Sisymbrium officinale,1.2bb
Solanum dulcamara,1.1
Solanum nigrum,1.1
Solanum tuberosum,1.1
Solidago canadensis,7.2c
Sonchus arvensis,7.2b
Sonchus asper,7.2b
Sonchus oleraceus,7.2b
Sorbus aucuparia,1.2ba
Sorbus torminalis,1.2ba
Spergula arvensis/Spergularia rupicola,1.2bb
Stachys palustris,5.1
Stachys sylvatica,5.1
Stellaria graminea,1.2bb
Stellaria holostea,1.2bb
Stellaria media,1.2bb
Stellaria palustris,1.2bb
Stellaria uliginosa,1.2bb
Succisa pratensis,7.1
Symphytum officinale,3.1
Taraxacum agg.,7.2b
Teucrium scorodonia,5.1
Thymus polytrichus,5.1
Tilia platyphyllos,1.2a
Trientalis europaea,1.1
Trifolium arvense,6.1a
Trifolium dubium,6.1a
Trifolium hybridum,6.1a
Trifolium pratense,6.1a
Trifolium repens,6.1a
Tripleurospermum inodorum,7.2c
Tripleurospermum maritimum/inodorum,7.2c
Tussilago farfara,7.2c
Ulex europaeus,6.1b
Ulex gallii,6.1b
Ulmus procera,0
Vaccinium myrtillus,3.1
Vaccinium oxycoccos,3.1
Vaccinium vitis-idaea,3.1
Veronica arvensis,5.6
Veronica chamaedrys,5.6
Veronica montana,5.6
Veronica officinalis,5.6
Veronica persica,5.6
Veronica serpyllifolia,5.6
Vicia cracca,6.1b
Vicia sativa,6.1b
Vicia sepium,6.1b
Viola arvensis,5.5
Viola canina,5.5
Viola palustris,5.5
Viola riviniana,5.5
Viola riviniana/reichenbiana,5.5
